celebrity_name,season,week,voting_rule_phase,judge_count,weekly_total,weekly_avg,is_eliminated_this_week,placement
Gilles Marini,8,9,2,4,28.0,9.333333333333334,0,2
Gilles Marini,8,10,2,4,30.0,10.0,0,2
Gilles Marini,8,11,2,4,29.0,9.666666666666666,0,2
Denise Richards,8,1,2,4,18.0,6.0,0,12
Denise Richards,8,2,2,4,21.0,7.0,0,12
Denise Richards,8,3,2,4,16.0,5.333333333333333,1,12
David Alan Grier,8,1,2,4,19.0,6.333333333333333,0,9
David Alan Grier,8,2,2,4,17.0,5.666666666666667,0,9
David Alan Grier,8,3,2,4,24.0,8.0,0,9
David Alan Grier,8,4,2,4,22.0,7.333333333333333,0,9
David Alan Grier,8,5,2,4,22.0,7.333333333333333,1,9
Lawrence Taylor,8,1,2,4,16.0,5.333333333333333,0,7
Lawrence Taylor,8,2,2,4,20.0,6.666666666666667,0,7
Lawrence Taylor,8,3,2,4,20.0,6.666666666666667,0,7
Lawrence Taylor,8,4,2,4,19.0,6.333333333333333,0,7
Lawrence Taylor,8,5,2,4,20.0,6.666666666666667,0,7
Lawrence Taylor,8,6,2,4,22.0,7.333333333333333,0,7
Lawrence Taylor,8,7,2,4,21.0,7.0,1,7
Ty Murray,8,1,2,4,14.0,4.666666666666667,0,4
Ty Murray,8,2,2,4,20.0,6.666666666666667,0,4
Ty Murray,8,3,2,4,23.0,7.666666666666667,0,4
Ty Murray,8,4,2,4,25.0,8.333333333333334,0,4
Ty Murray,8,5,2,4,21.0,7.0,0,4
Ty Murray,8,6,2,4,18.0,6.0,0,4
Ty Murray,8,7,2,4,24.0,8.0,0,4
Ty Murray,8,8,2,4,26.0,8.666666666666666,0,4
Ty Murray,8,9,2,4,23.0,7.666666666666667,0,4
Ty Murray,8,10,2,4,24.0,8.0,1,4
Shawn Johnson,8,1,2,4,23.0,7.666666666666667,0,1
Shawn Johnson,8,2,2,4,24.0,8.0,0,1
Shawn Johnson,8,3,2,4,27.0,9.0,0,1
Shawn Johnson,8,4,2,4,25.0,8.333333333333334,0,1
Shawn Johnson,8,5,2,4,26.0,8.666666666666666,0,1
Shawn Johnson,8,6,2,4,26.0,8.666666666666666,0,1
Shawn Johnson,8,7,2,4,28.0,9.333333333333334,0,1
Shawn Johnson,8,8,2,4,26.0,8.666666666666666,0,1
Shawn Johnson,8,9,2,4,28.0,9.333333333333334,0,1
Shawn Johnson,8,10,2,4,28.0,9.333333333333334,0,1
Shawn Johnson,8,11,2,4,30.0,10.0,0,1
Steve Wozniak,8,1,2,4,13.0,4.333333333333333,0,10
Steve Wozniak,8,2,2,4,17.0,5.666666666666667,0,10
Steve Wozniak,8,3,2,4,10.0,3.3333333333333335,0,10
Steve Wozniak,8,4,2,4,12.0,4.0,1,10
Belinda Carlisle,8,1,2,4,17.0,5.666666666666667,0,13
Belinda Carlisle,8,2,2,4,18.0,6.0,1,13
Chuck Wicks,8,1,2,4,20.0,6.666666666666667,0,6
Chuck Wicks,8,2,2,4,20.0,6.666666666666667,0,6
Chuck Wicks,8,3,2,4,23.0,7.666666666666667,0,6
Chuck Wicks,8,4,2,4,22.0,7.333333333333333,0,6
Chuck Wicks,8,5,2,4,23.0,7.666666666666667,0,6
Chuck Wicks,8,6,2,4,23.0,7.666666666666667,0,6
Chuck Wicks,8,7,2,4,27.0,9.0,0,6
Chuck Wicks,8,8,2,4,25.5,8.5,1,6
Lil' Kim,8,1,2,4,21.0,7.0,0,5
Lil' Kim,8,2,2,4,23.0,7.666666666666667,0,5
Lil' Kim,8,3,2,4,25.0,8.333333333333334,0,5
Lil' Kim,8,4,2,4,27.0,9.0,0,5
Lil' Kim,8,5,2,4,26.0,8.666666666666666,0,5
Lil' Kim,8,6,2,4,28.0,9.333333333333334,0,5
Lil' Kim,8,7,2,4,26.0,8.666666666666666,0,5
Lil' Kim,8,8,2,4,28.0,9.333333333333334,0,5
Lil' Kim,8,9,2,4,26.0,8.666666666666666,1,5
Steve-O,8,1,2,4,17.0,5.666666666666667,0,8
Steve-O,8,2,2,4,14.0,4.666666666666667,0,8
Steve-O,8,3,2,4,15.0,5.0,0,8
Steve-O,8,4,2,4,15.0,5.0,0,8
Steve-O,8,5,2,4,18.0,6.0,0,8
Steve-O,8,6,2,4,16.0,5.333333333333333,1,8
Holly Madison,8,1,2,4,18.0,6.0,0,11
Holly Madison,8,2,2,4,18.0,6.0,0,11
Holly Madison,8,3,2,4,17.0,5.666666666666667,0,11
Holly Madison,8,4,2,4,16.0,5.333333333333333,1,11
Melissa Rycroft,8,1,2,4,23.0,7.666666666666667,0,3
Melissa Rycroft,8,2,2,4,26.0,8.666666666666666,0,3
Melissa Rycroft,8,3,2,4,27.0,9.0,0,3
Melissa Rycroft,8,4,2,4,29.0,9.666666666666666,0,3
Melissa Rycroft,8,5,2,4,25.0,8.333333333333334,0,3
Melissa Rycroft,8,6,2,4,27.0,9.0,0,3
Melissa Rycroft,8,7,2,4,29.0,9.666666666666666,0,3
Melissa Rycroft,8,8,2,4,23.0,7.666666666666667,0,3
Melissa Rycroft,8,9,2,4,28.5,9.5,0,3
Melissa Rycroft,8,10,2,4,27.5,9.166666666666666,0,3
Melissa Rycroft,8,11,2,4,28.5,9.5,0,3
Ashley Hamiliton,9,1,2,4,18.9999,6.3333,1,16
Debi Mazar,9,1,2,4,22.0,7.333333333333333,0,12
Debi Mazar,9,2,2,4,21.0,7.0,0,12
Debi Mazar,9,3,2,4,17.0,5.666666666666667,1,12
Melissa Joan Hart,9,1,2,4,24.0,8.0,0,9
Melissa Joan Hart,9,2,2,4,19.0,6.333333333333333,0,9
Melissa Joan Hart,9,3,2,4,19.0,6.333333333333333,0,9
Melissa Joan Hart,9,4,2,4,28.0,9.333333333333334,0,9
Melissa Joan Hart,9,5,2,4,23.0,7.666666666666667,0,9
Melissa Joan Hart,9,6,2,4,23.9999,7.9999666666666664,1,9
Mark Dacascos,9,1,2,4,28.9998,9.6666,0,6
Mark Dacascos,9,2,2,4,21.0,7.0,0,6
Mark Dacascos,9,3,2,4,18.0,6.0,0,6
Mark Dacascos,9,4,2,4,22.0,7.333333333333333,0,6
Mark Dacascos,9,5,2,4,26.0,8.666666666666666,0,6
Mark Dacascos,9,6,2,4,32.0,10.666666666666666,0,6
Mark Dacascos,9,7,2,4,21.5,7.166666666666667,1,6
Chuck Liddell,9,1,2,4,22.0,7.333333333333333,0,11
Chuck Liddell,9,2,2,4,19.0,6.333333333333333,0,11
Chuck Liddell,9,3,2,4,17.0,5.666666666666667,0,11
Chuck Liddell,9,4,2,4,17.0,5.666666666666667,1,11
Natalie Coughlin,9,1,2,4,26.9998,8.999933333333333,0,10
Natalie Coughlin,9,2,2,4,21.0,7.0,0,10
Natalie Coughlin,9,3,2,4,26.0,8.666666666666666,0,10
Natalie Coughlin,9,4,2,4,24.0,8.0,0,10
Natalie Coughlin,9,5,2,4,22.0,7.333333333333333,1,10
Louie Vito,9,1,2,4,26.9998,8.999933333333333,0,8
Louie Vito,9,2,2,4,19.0,6.333333333333333,0,8
Louie Vito,9,3,2,4,20.0,6.666666666666667,0,8
Louie Vito,9,4,2,4,16.0,5.333333333333333,0,8
Louie Vito,9,5,2,4,22.0,7.333333333333333,0,8
Louie Vito,9,6,2,4,24.0,8.0,1,8
Michael Irvin,9,1,2,4,19.0,6.333333333333333,0,7
Michael Irvin,9,2,2,4,20.0,6.666666666666667,0,7
Michael Irvin,9,3,2,4,14.0,4.666666666666667,0,7
Michael Irvin,9,4,2,4,16.0,5.333333333333333,0,7
Michael Irvin,9,5,2,4,21.0,7.0,0,7
Michael Irvin,9,6,2,4,21.9998,7.333266666666667,0,7
Michael Irvin,9,7,2,4,23.5,7.833333333333333,1,7
Joanna Krupa,9,1,2,4,33.9999,11.3333,0,4
Joanna Krupa,9,2,2,4,20.0,6.666666666666667,0,4
Joanna Krupa,9,3,2,4,23.0,7.666666666666667,0,4
Joanna Krupa,9,4,2,4,26.0,8.666666666666666,0,4
Joanna Krupa,9,5,2,4,24.0,8.0,0,4
Joanna Krupa,9,6,2,4,35.9999,11.999966666666666,0,4
Joanna Krupa,9,7,2,4,27.5,9.166666666666666,0,4
Joanna Krupa,9,8,2,4,26.0,8.666666666666666,0,4
Joanna Krupa,9,9,2,4,27.0,9.0,1,4
Kathy Ireland,9,1,2,4,19.9999,6.666633333333333,0,14
Kathy Ireland,9,2,2,4,18.0,6.0,1,14
Tom DeLay,9,1,2,4,19.9999,6.666633333333333,0,13
Tom DeLay,9,2,2,4,18.0,6.0,0,13
Tom DeLay,9,3,2,4,15.0,5.0,0,13
Macy Gray,9,1,2,4,18.9999,6.3333,1,15
Aaron Carter,9,1,2,4,31.999899999999997,10.666633333333332,0,5
Aaron Carter,9,2,2,4,27.0,9.0,0,5
Aaron Carter,9,3,2,4,21.0,7.0,0,5
Aaron Carter,9,4,2,4,18.0,6.0,0,5
Aaron Carter,9,5,2,4,24.0,8.0,0,5
Aaron Carter,9,6,2,4,32.9998,10.999933333333333,0,5
Aaron Carter,9,7,2,4,26.5,8.833333333333334,0,5
Aaron Carter,9,8,2,4,25.0,8.333333333333334,1,5
Mya,9,1,2,4,30.999899999999997,10.3333,0,2
Mya,9,2,2,4,27.0,9.0,0,2
Mya,9,3,2,4,27.0,9.0,0,2
Mya,9,4,2,4,28.0,9.333333333333334,0,2
Mya,9,5,2,4,27.0,9.0,0,2
Mya,9,6,2,4,33.0,11.0,0,2
Mya,9,7,2,4,24.5,8.166666666666666,0,2
Mya,9,8,2,4,29.5,9.833333333333334,0,2
Mya,9,9,2,4,28.9999,9.666633333333333,0,2
Mya,9,10,2,4,28.333199999999998,9.4444,0,2
Donny Osmond,9,1,2,4,29.999899999999997,9.999966666666666,0,1
Donny Osmond,9,2,2,4,25.0,8.333333333333334,0,1
Donny Osmond,9,3,2,4,21.0,7.0,0,1
Donny Osmond,9,4,2,4,24.0,8.0,0,1
Donny Osmond,9,5,2,4,29.0,9.666666666666666,0,1
Donny Osmond,9,6,2,4,30.999899999999997,10.3333,0,1
Donny Osmond,9,7,2,4,26.0,8.666666666666666,0,1
Donny Osmond,9,8,2,4,25.0,8.333333333333334,0,1
Donny Osmond,9,9,2,4,24.666600000000003,8.2222,0,1
Donny Osmond,9,10,2,4,28.9998,9.6666,0,1
Kelly Osbourne,9,1,2,4,30.9998,10.333266666666667,0,3
Kelly Osbourne,9,2,2,4,19.0,6.333333333333333,0,3
Kelly Osbourne,9,3,2,4,20.0,6.666666666666667,0,3
Kelly Osbourne,9,4,2,4,23.0,7.666666666666667,0,3
Kelly Osbourne,9,5,2,4,24.0,8.0,0,3
Kelly Osbourne,9,6,2,4,24.9998,8.333266666666667,0,3
Kelly Osbourne,9,7,2,4,26.0,8.666666666666666,0,3
Kelly Osbourne,9,8,2,4,25.5,8.5,0,3
Kelly Osbourne,9,9,2,4,25.9998,8.6666,0,3
Kelly Osbourne,9,10,2,4,25.2222,8.4074,0,3
Aiden Turner,10,1,2,4,15.0,5.0,0,9
Aiden Turner,10,2,2,4,19.0,6.333333333333333,0,9
Aiden Turner,10,3,2,4,20.0,6.666666666666667,0,9
Aiden Turner,10,4,2,4,16.5,5.5,1,9
Shannen Doherty,10,1,2,4,18.0,6.0,0,11
Shannen Doherty,10,2,2,4,20.0,6.666666666666667,1,11
Niecy Nash,10,1,2,4,18.0,6.0,0,5
Niecy Nash,10,2,2,4,21.0,7.0,0,5
Niecy Nash,10,3,2,4,21.0,7.0,0,5
Niecy Nash,10,4,2,4,18.0,6.0,0,5
Niecy Nash,10,5,2,4,18.0,6.0,0,5
Niecy Nash,10,6,2,4,25.9998,8.6666,0,5
Niecy Nash,10,7,2,4,24.5,8.166666666666666,0,5
Niecy Nash,10,8,2,4,21.5,7.166666666666667,1,5
Buzz Aldrin,10,1,2,4,14.0,4.666666666666667,0,10
Buzz Aldrin,10,2,2,4,12.0,4.0,0,10
Buzz Aldrin,10,3,2,4,13.0,4.333333333333333,1,10
Chad Ochocinco,10,1,2,4,18.0,6.0,0,4
Chad Ochocinco,10,2,2,4,16.0,5.333333333333333,0,4
Chad Ochocinco,10,3,2,4,20.0,6.666666666666667,0,4
Chad Ochocinco,10,4,2,4,22.0,7.333333333333333,0,4
Chad Ochocinco,10,5,2,4,18.0,6.0,0,4
Chad Ochocinco,10,6,2,4,30.999899999999997,10.3333,0,4
Chad Ochocinco,10,7,2,4,26.0,8.666666666666666,0,4
Chad Ochocinco,10,8,2,4,22.5,7.5,0,4
Chad Ochocinco,10,9,2,4,26.0,8.666666666666666,1,4
Evan Lysacek,10,1,2,4,23.0,7.666666666666667,0,2
Evan Lysacek,10,2,2,4,24.0,8.0,0,2
Evan Lysacek,10,3,2,4,26.0,8.666666666666666,0,2
Evan Lysacek,10,4,2,4,26.0,8.666666666666666,0,2
Evan Lysacek,10,5,2,4,27.0,9.0,0,2
Evan Lysacek,10,6,2,4,27.0,9.0,0,2
Evan Lysacek,10,7,2,4,27.0,9.0,0,2
Evan Lysacek,10,8,2,4,26.5,8.833333333333334,0,2
Evan Lysacek,10,9,2,4,29.5,9.833333333333334,0,2
Evan Lysacek,10,10,2,4,26.888699999999996,8.9629,0,2
Pamela Anderson,10,1,2,4,21.0,7.0,0,6
Pamela Anderson,10,2,2,4,22.0,7.333333333333333,0,6
Pamela Anderson,10,3,2,4,21.0,7.0,0,6
Pamela Anderson,10,4,2,4,23.5,7.833333333333333,0,6
Pamela Anderson,10,5,2,4,21.0,7.0,0,6
Pamela Anderson,10,6,2,4,29.9998,9.999933333333333,0,6
Pamela Anderson,10,7,2,4,25.5,8.5,1,6
Nicole Scherzinger,10,1,2,4,25.0,8.333333333333334,0,1
Nicole Scherzinger,10,2,2,4,28.0,9.333333333333334,0,1
Nicole Scherzinger,10,3,2,4,23.0,7.666666666666667,0,1
Nicole Scherzinger,10,4,2,4,25.0,8.333333333333334,0,1
Nicole Scherzinger,10,5,2,4,29.0,9.666666666666666,0,1
Nicole Scherzinger,10,6,2,4,35.9999,11.999966666666666,0,1
Nicole Scherzinger,10,7,2,4,27.0,9.0,0,1
Nicole Scherzinger,10,8,2,4,29.5,9.833333333333334,0,1
Nicole Scherzinger,10,9,2,4,29.5,9.833333333333334,0,1
Nicole Scherzinger,10,10,2,4,28.7777,9.592566666666666,0,1
Erin Andrews,10,1,2,4,21.0,7.0,0,3
Erin Andrews,10,2,2,4,23.0,7.666666666666667,0,3
Erin Andrews,10,3,2,4,23.0,7.666666666666667,0,3
Erin Andrews,10,4,2,4,19.5,6.5,0,3
Erin Andrews,10,5,2,4,22.0,7.333333333333333,0,3
Erin Andrews,10,6,2,4,34.0,11.333333333333334,0,3
Erin Andrews,10,7,2,4,25.5,8.5,0,3
Erin Andrews,10,8,2,4,26.5,8.833333333333334,0,3
Erin Andrews,10,9,2,4,28.0,9.333333333333334,0,3
Erin Andrews,10,10,2,4,26.9998,8.999933333333333,0,3
Kate Gosselin,10,1,2,4,16.0,5.333333333333333,0,8
Kate Gosselin,10,2,2,4,15.0,5.0,0,8
Kate Gosselin,10,3,2,4,15.0,5.0,0,8
Kate Gosselin,10,4,2,4,16.0,5.333333333333333,0,8
Kate Gosselin,10,5,2,4,15.0,5.0,1,8
Jake Pavelka,10,1,2,4,20.0,6.666666666666667,0,7
Jake Pavelka,10,2,2,4,20.0,6.666666666666667,0,7
Jake Pavelka,10,3,2,4,21.0,7.0,0,7
Jake Pavelka,10,4,2,4,19.0,6.333333333333333,0,7
Jake Pavelka,10,5,2,4,23.0,7.666666666666667,0,7
Jake Pavelka,10,6,2,4,24.999899999999997,8.3333,1,7
David Hasselhoff,11,1,2,4,15.0,5.0,1,12
Florence Henderson,11,1,2,4,18.0,6.0,0,8
Florence Henderson,11,2,2,4,19.0,6.333333333333333,0,8
Florence Henderson,11,3,2,4,20.0,6.666666666666667,0,8
Florence Henderson,11,4,2,4,17.5,5.833333333333333,0,8
Florence Henderson,11,5,2,4,21.0,7.0,1,8
Kyle Massey,11,1,2,4,23.0,7.666666666666667,0,2
Kyle Massey,11,2,2,4,22.0,7.333333333333333,0,2
Kyle Massey,11,3,2,4,23.0,7.666666666666667,0,2
Kyle Massey,11,4,2,4,20.0,6.666666666666667,0,2
Kyle Massey,11,5,2,4,20.0,6.666666666666667,0,2
Kyle Massey,11,6,2,4,29.999899999999997,9.999966666666666,0,2
Kyle Massey,11,7,2,4,33.5,8.375,0,2
Kyle Massey,11,8,2,4,28.0,9.333333333333334,0,2
Kyle Massey,11,9,2,4,29.0,9.666666666666666,0,2
Kyle Massey,11,10,2,4,27.333199999999998,9.111066666666666,0,2
Jennifer Grey,11,1,2,4,24.0,8.0,0,1
Jennifer Grey,11,2,2,4,24.0,8.0,0,1
Jennifer Grey,11,3,2,4,24.0,8.0,0,1
Jennifer Grey,11,4,2,4,28.0,9.333333333333334,0,1
Jennifer Grey,11,5,2,4,25.0,8.333333333333334,0,1
Jennifer Grey,11,6,2,4,29.0,9.666666666666666,0,1
Jennifer Grey,11,7,2,4,36.5,9.125,0,1
Jennifer Grey,11,8,2,4,28.5,9.5,0,1
Jennifer Grey,11,9,2,4,30.0,10.0,0,1
Jennifer Grey,11,10,2,4,30.0,10.0,0,1
Rick Fox,11,1,2,4,22.0,7.333333333333333,0,6
Rick Fox,11,2,2,4,21.0,7.0,0,6
Rick Fox,11,3,2,4,24.0,8.0,0,6
Rick Fox,11,4,2,4,19.5,6.5,0,6
Rick Fox,11,5,2,4,24.0,8.0,0,6
Rick Fox,11,6,2,4,30.0,10.0,0,6
Rick Fox,11,7,2,4,34.5,8.625,1,6
Kurt Warner,11,1,2,4,19.0,6.333333333333333,0,5
Kurt Warner,11,2,2,4,21.0,7.0,0,5
Kurt Warner,11,3,2,4,23.0,7.666666666666667,0,5
Kurt Warner,11,4,2,4,17.0,5.666666666666667,0,5
Kurt Warner,11,5,2,4,24.0,8.0,0,5
Kurt Warner,11,6,2,4,21.9999,7.3333,0,5
Kurt Warner,11,7,2,4,35.0,8.75,0,5
Kurt Warner,11,8,2,4,24.0,8.0,1,5
Margaret Cho,11,1,2,4,15.0,5.0,0,10
Margaret Cho,11,2,2,4,18.0,6.0,0,10
Margaret Cho,11,3,2,4,18.0,6.0,1,10
Michael Bolton,11,1,2,4,16.0,5.333333333333333,0,11
Michael Bolton,11,2,2,4,12.0,4.0,1,11
Brandy,11,1,2,4,23.0,7.666666666666667,0,4
Brandy,11,2,2,4,21.0,7.0,0,4
Brandy,11,3,2,4,24.0,8.0,0,4
Brandy,11,4,2,4,24.0,8.0,0,4
Brandy,11,5,2,4,27.0,9.0,0,4
Brandy,11,6,2,4,35.9999,11.999966666666666,0,4
Brandy,11,7,2,4,36.5,9.125,0,4
Brandy,11,8,2,4,28.5,9.5,0,4
Brandy,11,9,2,4,28.5,9.5,1,4
The Situation,11,1,2,4,15.0,5.0,0,9
The Situation,11,2,2,4,18.0,6.0,0,9
The Situation,11,3,2,4,20.0,6.666666666666667,0,9
The Situation,11,4,2,4,14.0,4.666666666666667,1,9
Audrina Patridge,11,1,2,4,19.0,6.333333333333333,0,7
Audrina Patridge,11,2,2,4,23.0,7.666666666666667,0,7
Audrina Patridge,11,3,2,4,26.0,8.666666666666666,0,7
Audrina Patridge,11,4,2,4,23.0,7.666666666666667,0,7
Audrina Patridge,11,5,2,4,23.0,7.666666666666667,0,7
Audrina Patridge,11,6,2,4,31.9998,10.6666,1,7
Bristol Palin,11,1,2,4,18.0,6.0,0,3
Bristol Palin,11,2,2,4,22.0,7.333333333333333,0,3
Bristol Palin,11,3,2,4,19.0,6.333333333333333,0,3
Bristol Palin,11,4,2,4,16.0,5.333333333333333,0,3
Bristol Palin,11,5,2,4,18.0,6.0,0,3
Bristol Palin,11,6,2,4,27.9998,9.333266666666667,0,3
Bristol Palin,11,7,2,4,32.5,8.125,0,3
Bristol Palin,11,8,2,4,23.5,7.833333333333333,0,3
Bristol Palin,11,9,2,4,26.5,8.833333333333334,0,3
Bristol Palin,11,10,2,4,25.666600000000003,8.555533333333335,0,3
Ralph Macchio,12,1,2,4,24.0,8.0,0,4
Ralph Macchio,12,2,2,4,21.0,7.0,0,4
Ralph Macchio,12,3,2,4,21.0,7.0,0,4
Ralph Macchio,12,4,2,4,25.0,8.333333333333334,0,4
Ralph Macchio,12,5,2,4,22.0,7.333333333333333,0,4
Ralph Macchio,12,6,2,4,24.0,8.0,0,4
Ralph Macchio,12,7,2,4,33.0,8.25,0,4
Ralph Macchio,12,8,2,4,23.0,7.666666666666667,0,4
Ralph Macchio,12,9,2,4,24.0,8.0,1,4
Chelsea Kane,12,1,2,4,21.0,7.0,0,3
Chelsea Kane,12,2,2,4,18.0,6.0,0,3
Chelsea Kane,12,3,2,4,23.0,7.666666666666667,0,3
Chelsea Kane,12,4,2,4,26.0,8.666666666666666,0,3
Chelsea Kane,12,5,2,4,26.0,8.666666666666666,0,3
Chelsea Kane,12,6,2,4,28.0,9.333333333333334,0,3
Chelsea Kane,12,7,2,4,32.0,8.0,0,3
Chelsea Kane,12,8,2,4,27.5,9.166666666666666,0,3
Chelsea Kane,12,9,2,4,36.5,12.166666666666666,0,3
Chelsea Kane,12,10,2,4,29.666600000000003,9.888866666666667,0,3
Kirstie Alley,12,1,2,4,23.0,7.666666666666667,0,2
Kirstie Alley,12,2,2,4,20.0,6.666666666666667,0,2
Kirstie Alley,12,3,2,4,21.0,7.0,0,2
Kirstie Alley,12,4,2,4,22.0,7.333333333333333,0,2
Kirstie Alley,12,5,2,4,23.0,7.666666666666667,0,2
Kirstie Alley,12,6,2,4,26.0,8.666666666666666,0,2
Kirstie Alley,12,7,2,4,30.0,7.5,0,2
Kirstie Alley,12,8,2,4,26.5,8.833333333333334,0,2
Kirstie Alley,12,9,2,4,27.0,9.0,0,2
Kirstie Alley,12,10,2,4,27.999899999999997,9.3333,0,2
Hines Ward,12,1,2,4,21.0,7.0,0,1
Hines Ward,12,2,2,4,23.0,7.666666666666667,0,1
Hines Ward,12,3,2,4,25.0,8.333333333333334,0,1
Hines Ward,12,4,2,4,25.0,8.333333333333334,0,1
Hines Ward,12,5,2,4,27.0,9.0,0,1
Hines Ward,12,6,2,4,27.0,9.0,0,1
Hines Ward,12,7,2,4,33.0,8.25,0,1
Hines Ward,12,8,2,4,27.0,9.0,0,1
Hines Ward,12,9,2,4,30.0,10.0,0,1
Hines Ward,12,10,2,4,29.666600000000003,9.888866666666667,0,1
Sugar Ray Leonard,12,1,2,4,17.0,5.666666666666667,0,9
Sugar Ray Leonard,12,2,2,4,17.0,5.666666666666667,0,9
Sugar Ray Leonard,12,3,2,4,20.0,6.666666666666667,0,9
Sugar Ray Leonard,12,4,2,4,21.0,7.0,1,9
Chris Jericho,12,1,2,4,19.0,6.333333333333333,0,7
Chris Jericho,12,2,2,4,23.0,7.666666666666667,0,7
Chris Jericho,12,3,2,4,21.0,7.0,0,7
Chris Jericho,12,4,2,4,23.0,7.666666666666667,0,7
Chris Jericho,12,5,2,4,26.0,8.666666666666666,0,7
Chris Jericho,12,6,2,4,22.0,7.333333333333333,1,7
Petra Nemcova,12,1,2,4,18.0,6.0,0,8
Petra Nemcova,12,2,2,4,18.0,6.0,0,8
Petra Nemcova,12,3,2,4,25.0,8.333333333333334,0,8
Petra Nemcova,12,4,2,4,23.0,7.666666666666667,0,8
Petra Nemcova,12,5,2,4,22.0,7.333333333333333,1,8
Mike Catherwood,12,1,2,4,13.0,4.333333333333333,0,11
Mike Catherwood,12,2,2,4,17.0,5.666666666666667,1,11
Romeo,12,1,2,4,19.0,6.333333333333333,0,5
Romeo,12,2,2,4,23.0,7.666666666666667,0,5
Romeo,12,3,2,4,20.0,6.666666666666667,0,5
Romeo,12,4,2,4,23.0,7.666666666666667,0,5
Romeo,12,5,2,4,26.0,8.666666666666666,0,5
Romeo,12,6,2,4,28.0,9.333333333333334,0,5
Romeo,12,7,2,4,30.0,7.5,0,5
Romeo,12,8,2,4,26.0,8.666666666666666,1,5
Wendy Williams,12,1,2,4,14.0,4.666666666666667,0,10
Wendy Williams,12,2,2,4,17.0,5.666666666666667,0,10
Wendy Williams,12,3,2,4,15.0,5.0,1,10
Kendra Wilkinson,12,1,2,4,18.0,6.0,0,6
Kendra Wilkinson,12,2,2,4,19.0,6.333333333333333,0,6
Kendra Wilkinson,12,3,2,4,23.0,7.666666666666667,0,6
Kendra Wilkinson,12,4,2,4,18.0,6.0,0,6
Kendra Wilkinson,12,5,2,4,22.0,7.333333333333333,0,6
Kendra Wilkinson,12,6,2,4,25.0,8.333333333333334,0,6
Kendra Wilkinson,12,7,2,4,30.5,7.625,1,6
Elisabetta Canalis,13,1,2,4,15.0,5.0,0,11
Elisabetta Canalis,13,2,2,4,21.0,7.0,1,11
David Arquette,13,1,2,4,18.0,6.0,0,6
David Arquette,13,2,2,4,18.0,6.0,0,6
David Arquette,13,3,2,4,24.0,8.0,0,6
David Arquette,13,4,2,4,23.0,7.666666666666667,0,6
David Arquette,13,5,2,4,25.0,8.333333333333334,0,6
David Arquette,13,6,2,4,23.0,7.666666666666667,0,6
David Arquette,13,7,2,4,23.5,7.833333333333333,1,6
Ricki Lake,13,1,2,4,20.0,6.666666666666667,0,3
Ricki Lake,13,2,2,4,23.0,7.666666666666667,0,3
Ricki Lake,13,3,2,4,27.0,9.0,0,3
Ricki Lake,13,4,2,4,29.0,9.666666666666666,0,3
Ricki Lake,13,5,2,4,24.0,8.0,0,3
Ricki Lake,13,6,2,4,29.0,9.666666666666666,0,3
Ricki Lake,13,7,2,4,26.5,8.833333333333334,0,3
Ricki Lake,13,8,2,4,26.0,8.666666666666666,0,3
Ricki Lake,13,9,2,4,33.4999,11.166633333333332,0,3
Ricki Lake,13,10,2,4,27.999899999999997,9.3333,0,3
J.R. Martinez,13,1,2,4,22.0,7.333333333333333,0,1
J.R. Martinez,13,2,2,4,22.0,7.333333333333333,0,1
J.R. Martinez,13,3,2,4,26.0,8.666666666666666,0,1
J.R. Martinez,13,4,2,4,26.0,8.666666666666666,0,1
J.R. Martinez,13,5,2,4,28.0,9.333333333333334,0,1
J.R. Martinez,13,6,2,4,29.0,9.666666666666666,0,1
J.R. Martinez,13,7,2,4,24.0,8.0,0,1
J.R. Martinez,13,8,2,4,30.0,10.0,0,1
J.R. Martinez,13,9,2,4,28.0,9.333333333333334,0,1
J.R. Martinez,13,10,2,4,28.1665,9.388833333333332,0,1
Metta World Peace (Ron),13,1,2,4,14.0,4.666666666666667,1,12
Hope Solo,13,1,2,4,21.0,7.0,0,4
Hope Solo,13,2,2,4,19.0,6.333333333333333,0,4
Hope Solo,13,3,2,4,24.0,8.0,0,4
Hope Solo,13,4,2,4,24.0,8.0,0,4
Hope Solo,13,5,2,4,24.0,8.0,0,4
Hope Solo,13,6,2,4,20.0,6.666666666666667,0,4
Hope Solo,13,7,2,4,25.0,8.333333333333334,0,4
Hope Solo,13,8,2,4,26.0,8.666666666666666,0,4
Hope Solo,13,9,2,4,24.4998,8.1666,1,4
Chynna Phillips,13,1,2,4,22.0,7.333333333333333,0,9
Chynna Phillips,13,2,2,4,21.0,7.0,0,9
Chynna Phillips,13,3,2,4,26.0,8.666666666666666,0,9
Chynna Phillips,13,4,2,4,21.0,7.0,1,9
Kristin Cavallari,13,1,2,4,19.0,6.333333333333333,0,10
Kristin Cavallari,13,2,2,4,22.0,7.333333333333333,0,10
Kristin Cavallari,13,3,2,4,24.0,8.0,1,10
Carson Kressley,13,1,2,4,17.0,5.666666666666667,0,8
Carson Kressley,13,2,2,4,18.0,6.0,0,8
Carson Kressley,13,3,2,4,23.0,7.666666666666667,0,8
Carson Kressley,13,4,2,4,20.0,6.666666666666667,0,8
Carson Kressley,13,5,2,4,19.0,6.333333333333333,1,8
